ÁREA,PRÉDIO,LOCAL,MÁQUINA,FABRICANTE,BTU,FUNCIONA,ESTADO,FUNCAO,CRITICO,AUTOMACAO,DIAS SEMANA,HORAS,PRIORIDADE,RISCO,AREA_M2,ALTURA_M,VOLUME_M3,,,,OBSERVAÇÕES
ADMINISTRATIVA,SALA DE ESTADO,SALA DE ESTADO,SPLIT,ELGIN,"60,000",OK,SEMI,CONFORTO,,,7,24,2,2,,,,,,,
ADMINISTRATIVA,SAÚDE,ASSISTÊNCIA SOCIAL,JANELA,SPRINGER,"12,000",OK,VELHA,CONFORTO,,,5,8,3,3,,,,,,,
ADMINISTRATIVA,SAÚDE,DOC,SPLIT,MIDEA,"12,000",OK,NOVA,HOSPITALAR,,,5,8,1,1,,,,,,,
ADMINISTRATIVA,SAÚDE,ENFERMARIA,SPLIT,ELGIN,"22,000",OK,VELHA,HOSPITALAR,,,5,8,1,1,,,,,,,
ADMINISTRATIVA,SAÚDE,FISIOTERAPIA,JANELA,SPRINGER,"22,000",OK,VELHA,HOSPITALAR,,,5,8,1,1,,,,,,,
ADMINISTRATIVA,SAÚDE,ODONTO,SPLIT,ELGIN,"18,000",OK,NOVA,HOSPITALAR,,,5,8,1,1,,,,,,,
ADMINISTRATIVA,SAÚDE,SALA ESTABILIZAÇÃO,SPLIT,PHILCO,"18,000",OK,VELHA,HOSPITALAR,,,5,8,1,1,,,,,,,
ADMINISTRATIVA,SAÚDE,SECRETARIA,SPLIT,PHILCO,"12,000",OK,VELHA,HOSPITALAR,,,5,8,1,1,,,,,,,
ADMINISTRATIVA,SEGURANÇA,SEGURANÇA,SPLIT,COMFEE,"18,000",NOK,SEMI,CONFORTO,,,5,8,3,3,,,,,,,
OPERATIVA,ASPIDE I,SEÇÃO DE MONTAGEM,SELF CONTAINED,,"180,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,ASPIDE II,SEÇÃO DE MONTAGEM,SELF CONTAINED,,"180,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,ASPIDE II,SEÇÃO DE TESTES NÍVEL III,SELF CONTAINED,,"180,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,"BIBLIOTECA DSAM
(SEA SKUA)",BIBLIOTECA,SPLIT,,"48,000",OK,SEMI,BIBLIOTECA,X,,7,24,2,1,,,,,,,
OPERATIVA,EXOCET,MECÂNICA 1,SELF CONTAINED,,"120,000",OK,VELHA,ARMAMENTO,,,7,24,2,2,,,,,,,
OPERATIVA,EXOCET,MECÂNICA 2,SELF CONTAINED,,"60,000",OK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,EXOCET,MECÂNICA 2,SELF CONTAINED,,"180,000",OK,VELHA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,EXOCET,SALA DE AULA,SELF CONTAINED,,"36,000",OK,VELHA,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,EXOCET,SALA DE CONTROLE,SELF CONTAINED,,"90,000",OK,VELHA,ARMAMENTO,X,,7,24,1,1,,,,,,,
OPERATIVA,EXOCET,SALA DE CONTROLE,SELF CONTAINED,,"120,000",OK,VELHA,ARMAMENTO,,,7,24,2,2,,,,,,,
OPERATIVA,EXOCET,SALA DE CONTROLE,SPLIT,,"60,000",OK,VELHA,ARMAMENTO,X,,7,24,1,1,,,,,,,
OPERATIVA,EXOCET,SALA DE CONVERSORES,SELF CONTAINED,,"90,000",OK,NOVA,ARMAMENTO,X,,7,24,1,1,,,,,,,
OPERATIVA,EXOCET,SEÇÃO DE TESTES NÍVEL II,SPLIT,,"60,000",OK,SEMI,ARMAMENTO,X,,7,24,1,1,,,,,,,
OPERATIVA,F21,COPA/CORREDOR,SPLIT,,"12,000",OK,NOVA,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,F21,ELETRONICA 01,SPLIT,,"90,000",OK,NOVA,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,F21,ELETRONICA 02,SPLIT,,"36,000",NOK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,VERIFICAR
